score_layer,split,inclusion_lane,n_galaxies,median_rmse_prediction,median_minus_wrong_mean,median_minus_tpg_v6,median_minus_mond,beats_wrong_fraction,beats_tpg_v6_fraction,beats_mond_fraction,claim_boundary
L0,holdout,ACQUISITION_REQUIRED,28,11.776079048092104,0.09170266491027139,0.14489990582805046,-0.41503033112905685,0.4642857142857143,0.42857142857142855,0.6071428571428571,inclusion_lane_endpoint_analysis_not_validation
L0,holdout,ALL_ROWS,44,14.021305968565688,-0.0012605214126067028,0.13622558538897775,-0.41503033112905685,0.5,0.4772727272727273,0.5909090909090909,inclusion_lane_endpoint_analysis_not_validation
L0,holdout,CAUTION_READY_PROXY_SUPPORTED,16,22.97650226647646,-0.9046002663938122,-0.7419728489469666,-0.3326437137405338,0.5625,0.5625,0.5625,inclusion_lane_endpoint_analysis_not_validation
L0,holdout,STRICT_PLUS_CAUTION,16,22.97650226647646,-0.9046002663938122,-0.7419728489469666,-0.3326437137405338,0.5625,0.5625,0.5625,inclusion_lane_endpoint_analysis_not_validation
L0,train,ACQUISITION_REQUIRED,80,10.162938479849934,-0.22439932488089995,-0.060696141614060097,-0.19506216837460538,0.5875,0.525,0.525,inclusion_lane_endpoint_analysis_not_validation
L0,train,ALL_ROWS,131,12.052058336691273,-0.1610408632889974,-0.0047556718847419,-0.082794910119559,0.5725190839694656,0.5038167938931297,0.5190839694656488,inclusion_lane_endpoint_analysis_not_validation
L0,train,CAUTION_READY_PROXY_SUPPORTED,50,16.330315632201692,-0.0962556513991685,0.0201829301669067,0.07364332766794225,0.56,0.48,0.5,inclusion_lane_endpoint_analysis_not_validation
L0,train,STRICT_PLUS_CAUTION,51,16.41687231115443,-0.0759459658356362,0.0309535817988324,-0.0131746877004559,0.5490196078431373,0.47058823529411764,0.5098039215686274,inclusion_lane_endpoint_analysis_not_validation
L0,train,STRICT_READY_CANDIDATE,1,35.41555148991009,0.0040084188067623,0.3345905350831231,-2.87421334571097,0.0,0.0,1.0,inclusion_lane_endpoint_analysis_not_validation
L1,holdout,ACQUISITION_REQUIRED,28,11.46190841540854,-13.784893510161018,1.0272508695227764,0.03146001280786945,0.9285714285714286,0.4642857142857143,0.5,inclusion_lane_endpoint_analysis_not_validation
L1,holdout,ALL_ROWS,44,15.353124204626997,-13.974199559618807,0.6449476015984881,0.1734005913090346,0.8863636363636364,0.4772727272727273,0.4772727272727273,inclusion_lane_endpoint_analysis_not_validation
L1,holdout,CAUTION_READY_PROXY_SUPPORTED,16,22.944877184862527,-13.974199559618807,0.052696894815856155,0.21732421033734894,0.8125,0.5,0.4375,inclusion_lane_endpoint_analysis_not_validation
L1,holdout,STRICT_PLUS_CAUTION,16,22.944877184862527,-13.974199559618807,0.052696894815856155,0.21732421033734894,0.8125,0.5,0.4375,inclusion_lane_endpoint_analysis_not_validation
L1,train,ACQUISITION_REQUIRED,80,10.454660085783296,-15.867050207546441,0.3782566873262492,0.4112838047612133,0.9375,0.4625,0.4375,inclusion_lane_endpoint_analysis_not_validation
L1,train,ALL_ROWS,131,13.175386122165875,-11.122740256969614,0.2265709757814278,0.3310014380403583,0.8702290076335878,0.45038167938931295,0.4580152671755725,inclusion_lane_endpoint_analysis_not_validation
L1,train,CAUTION_READY_PROXY_SUPPORTED,50,18.466071413198478,-4.279999087527054,0.1689440280935166,0.06582451441758055,0.76,0.42,0.48,inclusion_lane_endpoint_analysis_not_validation
L1,train,STRICT_PLUS_CAUTION,51,19.265882690084663,-4.3494822678215,0.1113170804056054,0.0398528723654418,0.7647058823529411,0.43137254901960786,0.49019607843137253,inclusion_lane_endpoint_analysis_not_validation
L1,train,STRICT_READY_CANDIDATE,1,31.40417997527423,-6.752959116046792,-3.676780979552735,-6.885584860346828,1.0,1.0,1.0,inclusion_lane_endpoint_analysis_not_validation
L2,holdout,ACQUISITION_REQUIRED,28,12.969444177475332,,0.11181611186814955,0.8660159476525857,,0.5,0.42857142857142855,inclusion_lane_endpoint_analysis_not_validation
L2,holdout,ALL_ROWS,44,15.360162484413971,,0.11181611186814955,0.29848668852198124,,0.5,0.45454545454545453,inclusion_lane_endpoint_analysis_not_validation
L2,holdout,CAUTION_READY_PROXY_SUPPORTED,16,24.487601042762492,,0.41515013164821246,-0.02925315983979984,,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
L2,holdout,STRICT_PLUS_CAUTION,16,24.487601042762492,,0.41515013164821246,-0.02925315983979984,,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
L2,train,ACQUISITION_REQUIRED,80,12.015502789589366,,0.3745918576515987,0.10424925097194565,,0.425,0.4875,inclusion_lane_endpoint_analysis_not_validation
L2,train,ALL_ROWS,131,14.537487658133148,,0.4046102267825917,0.2017095788409246,,0.4198473282442748,0.4580152671755725,inclusion_lane_endpoint_analysis_not_validation
L2,train,CAUTION_READY_PROXY_SUPPORTED,50,19.470102372143266,,0.6151062381089538,0.5582530733959898,,0.4,0.4,inclusion_lane_endpoint_analysis_not_validation
L2,train,STRICT_PLUS_CAUTION,51,19.640250375165618,,0.4285828924427797,0.5115157203011549,,0.4117647058823529,0.4117647058823529,inclusion_lane_endpoint_analysis_not_validation
L2,train,STRICT_READY_CANDIDATE,1,32.739255123654445,,-2.3417058311725185,-5.550509711966612,,1.0,1.0,inclusion_lane_endpoint_analysis_not_validation
L3,holdout,ACQUISITION_REQUIRED,28,12.513331454597921,-4.323680768849266,0.12445781532866951,-0.9502140299745498,0.8214285714285714,0.4642857142857143,0.6785714285714286,inclusion_lane_endpoint_analysis_not_validation
L3,holdout,ALL_ROWS,44,13.215374860125241,-5.470945659132824,0.12445781532866951,-0.9502140299745498,0.8181818181818182,0.4772727272727273,0.6136363636363636,inclusion_lane_endpoint_analysis_not_validation
L3,holdout,CAUTION_READY_PROXY_SUPPORTED,16,22.594558237646044,-5.629327810610777,0.0477034599400952,-0.44096746865152625,0.8125,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
L3,holdout,STRICT_PLUS_CAUTION,16,22.594558237646044,-5.629327810610777,0.0477034599400952,-0.44096746865152625,0.8125,0.5,0.5,inclusion_lane_endpoint_analysis_not_validation
L3,train,ACQUISITION_REQUIRED,80,10.409293889990238,-5.742542358552787,0.0014968590125655,-0.8377718156928604,0.875,0.5,0.575,inclusion_lane_endpoint_analysis_not_validation
L3,train,ALL_ROWS,131,12.495749308781654,-3.5413550841611077,0.0335310105185833,-0.6930439742181131,0.8015267175572519,0.48091603053435117,0.5801526717557252,inclusion_lane_endpoint_analysis_not_validation
L3,train,CAUTION_READY_PROXY_SUPPORTED,50,17.48346923123799,-2.390986219728916,0.06219608117228055,-0.5414463956460778,0.68,0.44,0.58,inclusion_lane_endpoint_analysis_not_validation
L3,train,STRICT_PLUS_CAUTION,51,17.538555753393133,-2.454735691577909,0.0575079582522484,-0.5610502884808737,0.6862745098039216,0.45098039215686275,0.5882352941176471,inclusion_lane_endpoint_analysis_not_validation
L3,train,STRICT_READY_CANDIDATE,1,32.946466715337166,-3.0918713026056466,-2.134494239489797,-5.34329812028389,1.0,1.0,1.0,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,holdout,ACQUISITION_REQUIRED,28,11.46190841540854,-13.784893510161018,1.0272508695227764,0.03146001280786945,0.9285714285714286,0.4642857142857143,0.5,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,holdout,ALL_ROWS,44,15.353124204626997,-13.974199559618807,0.6449476015984881,0.1734005913090346,0.8863636363636364,0.4772727272727273,0.4772727272727273,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,holdout,CAUTION_READY_PROXY_SUPPORTED,16,22.944877184862527,-13.974199559618807,0.052696894815856155,0.21732421033734894,0.8125,0.5,0.4375,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,holdout,STRICT_PLUS_CAUTION,16,22.944877184862527,-13.974199559618807,0.052696894815856155,0.21732421033734894,0.8125,0.5,0.4375,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,train,ACQUISITION_REQUIRED,80,10.454660085783296,-15.867050207546441,0.3782566873262492,0.4112838047612133,0.9375,0.4625,0.4375,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,train,ALL_ROWS,131,13.175386122165875,-11.122740256969614,0.2265709757814278,0.3310014380403583,0.8702290076335878,0.45038167938931295,0.4580152671755725,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,train,CAUTION_READY_PROXY_SUPPORTED,50,18.466071413198478,-4.279999087527054,0.1689440280935166,0.06582451441758055,0.76,0.42,0.48,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,train,STRICT_PLUS_CAUTION,51,19.265882690084663,-4.3494822678215,0.1113170804056054,0.0398528723654418,0.7647058823529411,0.43137254901960786,0.49019607843137253,inclusion_lane_endpoint_analysis_not_validation
source_native_hard_family,train,STRICT_READY_CANDIDATE,1,31.40417997527423,-6.752959116046792,-3.676780979552735,-6.885584860346828,1.0,1.0,1.0,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,holdout,ACQUISITION_REQUIRED,28,11.936713565557682,,-0.0785966442076318,-0.5655136693780896,,0.5,0.6785714285714286,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,holdout,ALL_ROWS,44,14.110187338257681,,0.06637340520848005,-0.2514798189855893,,0.45454545454545453,0.5454545454545454,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,holdout,CAUTION_READY_PROXY_SUPPORTED,16,26.23019113207969,,1.4632877768085462,2.2731708997574565,,0.375,0.3125,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,holdout,STRICT_PLUS_CAUTION,16,26.23019113207969,,1.4632877768085462,2.2731708997574565,,0.375,0.3125,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,train,ACQUISITION_REQUIRED,80,10.17086853075233,,-0.036930531504491146,-0.4634692413139141,,0.5125,0.575,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,train,ALL_ROWS,131,11.790114634376591,,0.2203717360482215,0.1147658343263531,,0.4580152671755725,0.48854961832061067,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,train,CAUTION_READY_PROXY_SUPPORTED,50,17.447200516548126,,1.1625300751931984,1.0078069260581817,,0.38,0.36,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,train,STRICT_PLUS_CAUTION,51,17.761796679129066,,1.177397344921025,1.0413100202003367,,0.37254901960784315,0.35294117647058826,inclusion_lane_endpoint_analysis_not_validation
tau_side_evidence_measure_l2,train,STRICT_READY_CANDIDATE,1,51.29731337917479,,16.216352424347825,13.007548543553732,,0.0,0.0,inclusion_lane_endpoint_analysis_not_validation
