galaxy,split,role,formula_family,manifest_confidence,manifest_caveat,hub_type,type_bin,inc_bin,distance_quality,distance_frac_error,inclination_deg,inclination_error_deg,n_points,r_min,r_median,r_max,mean_gas,mean_bulge,max_bulge,mean_log_sbdisk,peak_log_sb,scale_radius_proxy_kpc,tail_inner_radius_proxy_kpc,tail_cutoff_radius_proxy_kpc,compact_support_radius_proxy_kpc,thickness_h_over_rs_proxy,ring_radius_proxy_kpc,ring_width_proxy_kpc,bar_m2_proxy,lopsided_m1_proxy,amplitude_policy,parameter_source,forbidden_inputs
CamB,holdout,middle,K_scale_tail_spiral,1.0,none,10.0,irregular_T_ge_9,inc_high_60_80,2.0,0.077380952381,65.0,5.0,9,0.16,0.9,1.79,0.3364692796822091,0.0,0.0,0.8936597629670757,1.481729196960016,0.5363528009535161,0.315,2.091140005315577,0.9,0.2314111758569941,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
ESO116-G012,holdout,middle,K_exponential_disk,0.85,large_distance_error,7.0,late_T_6_8,inc_high_60_80,1.0,0.3,74.0,3.0,15,0.25,4.13,9.86,0.2211596507706781,0.0,0.0,1.221188713730845,2.442385687867871,2.461263408820024,1.4454999999999998,10.950317078299442,4.13,0.17952184284680514,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
F561-1,holdout,candidate,K_scale_tail_spiral,0.6000000000000001,few_rotation_points;low_inclination,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.150602409639,24.0,10.0,6,1.61,5.645,9.66,0.2551235244938438,0.0,0.0,1.092640501154487,1.6422666189026736,3.364123957091776,1.9757499999999997,10.892246623305265,5.645,0.1948055860222297,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
F563-1,holdout,candidate,K_scale_tail_spiral,0.65,low_inclination;large_distance_error,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.200408997955,25.0,5.0,17,1.07,9.26,20.1,0.4762978477885164,0.0,0.0,0.3289916760152911,1.5240064455573723,5.5184743742550655,3.2409999999999997,24.886793370274592,9.26,0.2943340315048324,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
F568-1,holdout,candidate,K_thick_flared,0.7000000000000001,low_inclination;vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_low_lt_40,1.0,0.106945975744,26.0,5.0,12,0.44,5.1850000000000005,13.23,0.2188489548893078,0.0,0.0,1.2025295066464603,1.9917132757130895,3.089988081048868,1.81475,14.677685836592772,5.1850000000000005,0.1784820297001885,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
IC2574,holdout,control,K_scale_tail_spiral,1.0,none,9.0,irregular_T_ge_9,inc_high_60_80,2.0,0.051150895141,75.0,7.0,34,0.85,5.545,10.23,0.3765714028427711,0.0,0.0,0.5485328390367614,1.224014811372864,3.3045292014302743,1.9407499999999998,12.156162725540774,5.545,0.249457131279247,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
IC4202,holdout,candidate,K_compact_finite,1.0,none,4.0,mid_T_3_5,inc_edge_ge_80,1.0,0.099601593625,90.0,1.0,32,0.77,12.905000000000001,25.9,0.0480021177055607,0.4202354154490455,0.9823511937853552,1.8322708789160742,2.5252651393808985,7.6907032181168065,4.51675,26.52162742428701,18.328138036369936,0.10160095296750232,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC0024,holdout,middle,K_thick_flared,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_high_60_80,2.0,0.049315068493,64.0,3.0,29,0.21,1.7,11.27,0.1003561854937087,0.0,0.0,1.8354156459886561,2.6135775721070993,1.0131108462455305,0.595,11.835507105257047,1.7,0.12516028347216893,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC2683,holdout,middle,K_thick_flared,0.9,vertical_geometry_proxy_only,3.0,mid_T_3_5,inc_edge_ge_80,2.0,0.0499490316,80.0,5.0,11,2.89,17.31,34.62,0.0371166982515088,0.09496838710118838,0.2121899390471468,0.831441692373184,2.8781712312545915,10.315852205005958,6.0584999999999996,35.26249004673362,18.95390278072157,0.09670251421317896,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3726,holdout,candidate,K_thick_flared,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_mid_40_60,4.0,0.138888888889,53.0,2.0,12,3.5,13.065,32.52,0.1226403651218742,0.0,0.0,1.1557074911807586,2.565788807262067,7.786054827175208,4.572749999999999,34.51413233688168,13.065,0.1351881643048434,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3949,holdout,middle,K_thick_flared,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_mid_40_60,4.0,0.138888888889,55.0,2.0,7,1.74,4.37,7.07,0.0631191470985132,0.0,0.0,2.0782692709916564,2.8761196512188567,2.6042908224076284,1.5294999999999999,7.293126184993245,4.37,0.10840361619433095,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3972,holdout,middle,K_thick_flared,0.9,vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_high_60_80,4.0,0.138888888889,77.0,1.0,10,0.87,4.805,8.72,0.0805146224534249,0.0,0.0,1.7273889153799096,2.4062164678532603,2.8635280095351607,1.6817499999999999,9.071043753896932,4.805,0.11623158010404121,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4013,holdout,middle,K_compact_finite,1.0,none,3.0,mid_T_3_5,inc_edge_ge_80,4.0,0.138888888889,89.0,1.0,36,5.49,18.229999999999997,31.01,0.0690537022061544,0.22092004244758756,0.319161575792811,1.0181113042614893,2.412830002562326,10.864123957091774,6.380499999999999,32.08067765270643,22.257372373819518,0.11107416599276948,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4088,holdout,candidate,K_thick_flared,0.9,vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_high_60_80,4.0,0.138888888889,69.0,2.0,12,1.74,11.33,21.48,0.0897143210371243,0.0,0.0,1.5593413672138234,2.897649080327782,6.752085816448153,3.9654999999999996,22.443531807938715,11.33,0.12037144446670595,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4183,holdout,control,K_exponential_disk,1.0,none,6.0,late_T_6_8,inc_edge_ge_80,4.0,0.138888888889,82.0,2.0,23,0.87,10.47,21.02,0.3105049950741936,0.0,0.0,0.7379536594352742,2.2046896204203605,6.239570917759238,3.6645,24.283407498229774,10.47,0.21972724778338715,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4214,holdout,middle,K_scale_tail_spiral,0.8,low_inclination,10.0,irregular_T_ge_9,inc_low_lt_40,2.0,0.048780487805,15.0,10.0,14,0.21,2.925,5.63,0.1817104739123197,0.0,0.0,0.5123592877122507,2.7334380270910614,1.7431466030989273,1.02375,6.14151498406318,2.925,0.16176971326054387,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC4389,holdout,candidate,K_thick_flared,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,4.0,mid_T_3_5,inc_mid_40_60,4.0,0.138888888889,50.0,4.0,6,0.87,3.145,5.32,0.0231227672033833,0.0,0.0,2.2501261736983182,2.89999549768761,1.8742550655542314,1.10075,5.381506560761,3.145,0.09040524524152249,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC5907,holdout,middle,K_thick_flared,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_edge_ge_80,2.0,0.052023121387,88.0,2.0,19,5.03,27.68,50.33,0.1572305088081207,0.0,0.0,0.8223570578314573,2.57362573693412,16.495828367103694,9.687999999999999,54.28670575415636,27.68,0.1507537289636543,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC5985,holdout,candidate,K_compact_finite,0.85,large_distance_error,3.0,mid_T_3_5,inc_high_60_80,1.0,0.249370277078,60.0,2.0,33,3.54,15.64,34.72,0.0295422230951346,0.13824751923841294,0.5574581155350338,1.8191020419726533,2.530289366272282,9.32061978545888,5.474,35.232852992931534,17.802191200888778,0.09329400039281058,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC6789,holdout,middle,K_scale_tail_spiral,0.8,few_rotation_points,11.0,irregular_T_ge_9,inc_mid_40_60,2.0,0.051136363636,43.0,7.0,4,0.1,0.405,0.71,0.3124876117263441,0.0,0.0,1.6495337685489222,2.1013689632492514,0.24135876042908228,0.14175,0.8209331021628522,0.405,0.22061942527685485,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC6946,holdout,middle,K_compact_finite,0.65,low_inclination;large_distance_error,6.0,late_T_6_8,inc_low_lt_40,2.0,0.300724637681,38.0,2.0,58,0.19,10.29,20.4,0.0727529263390916,0.1522384939532083,0.992215072630338,1.4486733791800546,3.206809690842736,6.132300357568534,3.6014999999999993,21.14207984865873,11.856534102778511,0.11273881685259121,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC7331,holdout,candidate,K_thick_flared,0.9,vertical_geometry_proxy_only,3.0,mid_T_3_5,inc_high_60_80,3.0,0.102040816327,75.0,2.0,36,2.67,17.61,36.31,0.0717586900579991,0.06960288293076379,0.2064409735332409,1.4992933896487588,3.3073697960474604,10.494636471990464,6.163499999999999,37.612779018002975,18.83570676841075,0.1122914105260996,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC00731,holdout,middle,K_scale_tail_spiral,0.85,large_distance_error,10.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.3,57.0,3.0,12,0.91,5.905,10.91,0.6981765286092368,0.0,0.0,-0.025815124639409128,0.9370161074648142,3.519070321811681,2.06675,14.718552963563388,5.905,0.3941794378741566,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC00891,holdout,control,K_scale_tail_spiral,0.65,few_rotation_points;large_distance_error,9.0,irregular_T_ge_9,inc_high_60_80,1.0,0.303921568627,60.0,5.0,5,1.48,4.45,7.39,0.6490832991042254,0.0,0.0,0.34356872624170465,1.0681858617461617,2.65196662693683,1.5574999999999999,9.788362790190112,4.45,0.37208748459690144,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC02023,holdout,middle,K_scale_tail_spiral,0.45000000000000007,few_rotation_points;low_inclination;large_distance_error,10.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.298076923077,19.0,10.0,5,0.76,2.27,3.78,0.2065996906946769,0.0,0.0,1.3052473883073465,1.750970984437319,1.3528009535160908,0.7945,4.170473415412939,2.27,0.17296986081260463,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC02259,holdout,middle,K_exponential_disk,0.85,large_distance_error,8.0,late_T_6_8,inc_mid_40_60,1.0,0.295238095238,41.0,3.0,8,1.02,4.58,8.14,0.3172235144329202,0.0,0.0,0.93637921076369,1.73559889969818,2.729439809296782,1.603,9.431099703741985,4.58,0.22275058149481408,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC03580,holdout,candidate,K_compact_finite,0.85,large_distance_error,1.0,early_T_le_2,inc_high_60_80,1.0,0.251207729469,63.0,4.0,47,0.11,2.75,27.06,0.1211569446494558,0.4791248393342344,0.9635093511456176,1.4587470405365592,2.8163871454023504,1.6388557806912993,0.9624999999999999,28.699253461107133,4.067593308169145,0.1345206250922551,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC04305,holdout,candidate,K_scale_tail_spiral,1.0,none,10.0,irregular_T_ge_9,inc_mid_40_60,2.0,0.049275362319,40.0,10.0,22,0.25,2.885,5.52,0.3264755733989134,0.0,0.0,0.9717774827553185,1.8678797834583796,1.7193087008343264,1.00975,6.421072582581001,2.885,0.22691400802951106,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC04499,holdout,control,K_scale_tail_spiral,0.85,large_distance_error,8.0,late_T_6_8,inc_mid_40_60,1.0,0.3,50.0,3.0,9,0.91,4.55,8.18,0.4014144819607657,0.0,0.0,0.8990085544282319,1.783117137490467,2.7115613825983313,1.5924999999999998,9.82178523121953,4.55,0.26063651688234457,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC05414,holdout,control,K_scale_tail_spiral,0.65,few_rotation_points;large_distance_error,10.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.3,55.0,3.0,6,0.68,2.395,4.11,0.324183597346988,0.0,0.0,1.2388119296351854,1.8004421213362567,1.427294398092968,0.8382499999999999,4.77619729254806,2.395,0.22588261880614457,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC05716,holdout,control,K_scale_tail_spiral,0.85,large_distance_error,9.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.24882629108,54.0,10.0,12,1.03,6.715,12.37,0.5919140777136948,0.0,0.0,-0.3065499209028079,1.4868553552769432,4.001787842669845,2.35025,16.0309885706592,6.715,0.34636133497116267,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC05829,holdout,control,K_scale_tail_spiral,0.65,low_inclination;large_distance_error,10.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.299768518519,34.0,10.0,11,0.63,3.77,6.91,0.4095202439337575,0.0,0.0,0.564761179691312,1.2187979981117376,2.2467222884386175,1.3195,8.324892442791132,3.77,0.2642841097701909,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC05986,holdout,middle,K_scale_tail_spiral,0.85,large_distance_error,9.0,irregular_T_ge_9,inc_edge_ge_80,1.0,0.300115874855,90.0,3.0,15,0.63,5.02,9.41,0.1622868556235787,0.0,0.0,1.525243100141133,2.2808286776397315,2.9916567342073894,1.7569999999999997,10.173559655708937,5.02,0.1530290850306104,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC06818,holdout,middle,K_scale_tail_spiral,1.0,none,9.0,irregular_T_ge_9,inc_high_60_80,4.0,0.138888888889,75.0,3.0,8,0.87,3.935,6.98,0.1822137317919296,0.0,0.0,0.8897410130522616,1.8845688149183333,2.3450536352800957,1.3772499999999999,7.615925923953835,3.935,0.16199617930636834,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC06917,holdout,control,K_scale_tail_spiral,1.0,none,9.0,irregular_T_ge_9,inc_mid_40_60,4.0,0.138888888889,56.0,2.0,11,1.74,6.11,10.47,0.1850275089777395,0.0,0.0,1.2021139934622245,1.92453771777549,3.6412395709177594,2.1385,11.438619009498467,6.11,0.16326237903998278,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC06983,holdout,middle,K_scale_tail_spiral,1.0,none,6.0,late_T_6_8,inc_mid_40_60,4.0,0.138888888889,49.0,1.0,17,1.74,8.72,15.68,0.3526909491487769,0.0,0.0,0.8555732325327188,1.9951962915971797,5.196662693682956,3.052,18.44509704132641,8.72,0.23871092711694963,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC07151,holdout,control,K_exponential_disk,1.0,none,6.0,late_T_6_8,inc_edge_ge_80,2.0,0.049490538574,90.0,3.0,11,0.5,3.0,5.5,0.1977479474520546,0.0,0.0,1.3717665100620258,2.2242221860846487,1.7878426698450538,1.0499999999999998,6.04380685549315,3.0,0.16898657635342457,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC07261,holdout,control,K_exponential_disk,0.45000000000000007,few_rotation_points;low_inclination;large_distance_error,8.0,late_T_6_8,inc_low_lt_40,1.0,0.3,30.0,10.0,7,0.95,3.81,6.67,0.2064259010278633,0.0,0.0,1.1989104906357924,1.9871745010875417,2.2705601907032182,1.3335,7.358430379927924,3.81,0.17289165546253848,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC07577,holdout,middle,K_scale_tail_spiral,1.0,none,10.0,irregular_T_ge_9,inc_high_60_80,2.0,0.050193050193,63.0,3.0,9,0.19,0.94,1.69,0.1092797408700384,0.0,0.0,0.7744462575574903,1.1574567681342256,0.5601907032181168,0.32899999999999996,1.7823413810351825,0.94,0.12917588339151728,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC07603,holdout,middle,K_exponential_disk,0.85,large_distance_error,7.0,late_T_6_8,inc_high_60_80,1.0,0.3,78.0,3.0,12,0.34,2.2199999999999998,4.11,0.3367115321762238,0.0,0.0,0.6439810306985554,2.0285712526925375,1.3230035756853396,0.7769999999999999,4.8019421986221404,2.2199999999999998,0.2315201894793007,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC08699,holdout,middle,K_compact_finite,0.85,large_distance_error,2.0,early_T_le_2,inc_high_60_80,1.0,0.249872773537,73.0,9.0,41,0.22,7.16,25.7,0.0491906047533491,0.5016099888270507,0.980448697417964,1.7372115100390335,3.1087036781837147,4.266984505363529,2.506,26.332099271080533,10.751527520001684,0.1021357721390071,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC11914,holdout,candidate,K_compact_finite,0.65,low_inclination;large_distance_error,2.0,early_T_le_2,inc_low_lt_40,1.0,0.301775147929,31.0,5.0,65,0.28,3.83,9.83,0.0032428364674103,0.5692553771698209,0.9724360634892316,2.7729184940052973,3.390221289211499,2.282479141835519,1.3405,9.845938541237322,6.0102480945604135,0.08145927641033464,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
