galaxy,radius_kpc,locality_multiplier,ring_strength,closure_kernel_K_thick_flared,claim_boundary
NGC2683,2.89,0.5,0.0,1.144047301915918e-09,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,0.5,0.0,0.00042612865769156127,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,0.5,0.0,0.2985256242215563,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,0.5,0.0,1.579077878798739,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,0.5,0.0,1.6955714601243648,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,0.5,0.0,0.12008117399396119,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,0.5,0.0,2.8462517637944996e-05,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,0.5,0.0,1.0628605859714995e-11,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,0.5,0.0,5.386112933766955e-23,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,0.5,0.0,3.806940789123894e-31,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,0.5,0.0,5.0795321830179683e-42,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,0.5,0.5,1.1440467457970703e-09,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,0.5,0.5,0.0004261284505513691,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,0.5,0.5,0.2985254791089616,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,0.5,0.5,1.5790771126552832,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,0.5,0.5,1.6955747963257468,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,0.5,0.5,0.12114620196559725,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,0.5,0.5,0.025186163889837562,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,0.5,0.5,0.05364031978021031,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,0.5,0.5,0.00018429863618802913,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,0.5,0.5,2.923639250240027e-07,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,0.5,0.5,6.247753055836844e-11,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,0.5,1.0,1.1440461896787631e-09,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,0.5,1.0,0.00042612824341137836,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,0.5,1.0,0.29852533399650794,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,0.5,1.0,1.5790763465125728,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,0.5,1.0,1.695578132523886,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,0.5,1.0,0.12221122890181833,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,0.5,1.0,0.05034384080384375,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,0.5,1.0,0.10728058740093718,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,0.5,1.0,0.0003685970932018315,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,0.5,1.0,5.847275658132368e-07,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,0.5,1.0,1.249550003763893e-10,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,1.0,0.0,0.0001890460639125786,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,1.0,0.0,0.010506804562236042,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,1.0,0.0,0.18579647040686945,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,1.0,0.0,0.8889623788687762,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,1.0,0.0,1.4739143978686147,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,1.0,0.0,0.9423965529752403,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,1.0,0.0,0.18190696778102852,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,1.0,0.0,0.008359274953694205,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,1.0,0.0,1.4935433475033487e-07,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,1.0,0.0,5.325145873563923e-11,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,1.0,0.0,4.2850831882637945e-15,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,1.0,0.5,0.0001890459720186186,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,1.0,0.5,0.010506799456732375,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,1.0,0.5,0.18579638178988025,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,1.0,0.5,0.8889624520212237,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,1.0,0.5,1.4739614037609212,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,1.0,0.5,0.9437802035451707,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,1.0,0.5,0.19452583469247983,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,1.0,0.5,0.04397476366402152,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,1.0,0.5,0.008609990546267009,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,1.0,0.5,0.0007391487295494381,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,1.0,0.5,2.323113854477607e-05,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,1.0,1.0,0.00018904588012474806,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,1.0,1.0,0.010506794351233676,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,1.0,1.0,0.18579629317297727,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,1.0,1.0,0.8889625251736004,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,1.0,1.0,1.4740084096075297,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,1.0,1.0,0.9451638527699229,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,1.0,1.0,0.2071446893359309,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,1.0,1.0,0.07959021774914604,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,1.0,1.0,0.017219823367754045,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,1.0,1.0,0.0014782966872507132,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,1.0,1.0,4.646225450006854e-05,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,1.5,0.0,0.002277794124218979,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,1.5,0.0,0.016674246327649373,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,1.5,0.0,0.09588838746713502,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,1.5,0.0,0.37017657486913164,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,1.5,0.0,0.857450081677045,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,1.5,0.0,1.1296582260217833,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,1.5,0.0,0.8348042394628673,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,1.5,0.0,0.3369526707281329,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,1.5,0.0,0.0076445152387425745,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,1.5,0.0,0.00040671370878105615,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,1.5,0.0,1.1227713716415154e-05,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,1.5,0.5,0.002277793049995777,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,1.5,0.5,0.0166742402492049,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,1.5,0.5,0.09588844481864872,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,1.5,0.5,0.37018002366548797,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,1.5,0.5,0.8575249275314729,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,1.5,0.5,1.1304986629109832,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,1.5,0.5,0.839861123087372,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,1.5,0.5,0.35308719644874215,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,1.5,0.5,0.032683436882495184,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,1.5,0.5,0.012627747475625749,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,1.5,0.5,0.003372973771246873,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,1.5,1.0,0.0022777919757736185,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,1.5,1.0,0.016674234170766335,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,1.5,1.0,0.09588850217010664,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,1.5,1.0,0.3701834724584914,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,1.5,1.0,0.8575997733131359,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,1.5,1.0,1.1313390989831142,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,1.5,1.0,0.8449180017955996,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,1.5,1.0,0.3692217064834448,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,1.5,1.0,0.05772233418353144,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,1.5,1.0,0.02484876936124158,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,1.5,1.0,0.0067347165605043625,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,2.0,0.0,0.006014615990678921,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,2.0,0.0,0.019609985647178228,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,2.0,0.0,0.059855543120430274,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,2.0,0.0,0.1627446913238813,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,2.0,0.0,0.3734592996963319,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,2.0,0.0,0.6691728822827447,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,2.0,0.0,0.8820251588521619,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,2.0,0.0,0.8211681274000202,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,2.0,0.0,0.235934680176903,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,2.0,0.0,0.07156469617369804,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,2.0,0.0,0.014988295758659927,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,2.0,0.5,0.0060146171427597215,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,2.0,0.5,0.01961002574064783,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,2.0,0.5,0.059856088429659386,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,2.0,0.5,0.16275052638409218,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,2.0,0.5,0.37351051172493466,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,2.0,0.5,0.6695157342722775,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,2.0,0.5,0.8836915713401495,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,2.0,0.5,0.826768006269884,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,2.0,0.5,0.25629852423608734,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,2.0,0.5,0.09352922724823763,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,2.0,0.5,0.03141361705927947,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,2.89,2.0,1.0,0.0060146182948394005,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,5.77,2.0,1.0,0.01961006583407846,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,8.66,2.0,1.0,0.05985663373835837,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,11.54,2.0,1.0,0.16275636143863026,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,14.43,2.0,1.0,0.37356172370374935,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,17.31,2.0,1.0,0.6698585859284913,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,20.2,2.0,1.0,0.8853579822080588,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,23.08,2.0,1.0,0.8323678796955728,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,28.85,2.0,1.0,0.2766623484976427,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,31.74,2.0,1.0,0.11549373696896825,s4g75_ngc2683_closure_source_sensitivity_not_validation
NGC2683,34.62,2.0,1.0,0.04783892239128252,s4g75_ngc2683_closure_source_sensitivity_not_validation
